Name,Location,Description,Accelerator,Batch,Status,Webpage
Boostly,"Orem,UT,USA",Automated text marketing & feedback software for restaurants  ,Y Combinator,S22,,
BlueHillPayments,"SanFrancisco,CA,USA",Expanding Payment Flexibility and Lowering Rates for Merchants  ,Y Combinator,S22,,
RootFi,"Bengaluru,Karnataka,India",Operating System for lending  ,Y Combinator,S22,,
Fetii,"Austin,TX,USA",Group Rideshare Platform  ,Y Combinator,S22,,
Paigo,"SanFrancisco,CA,USA","Intelligent Billing for Data, Infrastructure and Platform  ",Y Combinator,S22,,
Kapstar,"Blumenau,StateofSantaCatarina,Brazil",Cross-Border Payments  ,Y Combinator,S22,,
TrueBiz,"NewYork,NY,USA",Verify businesses for compliance and risk  ,Y Combinator,S22,,
Alterya,"TelAviv-Yafo,Israel",Plaid for DeFi  ,Y Combinator,S22,,
erad,RiyadhSaudiArabia,Growth funding for online businesses in the Middle East.  ,Y Combinator,S22,,
Devyce,"London,UK",The hybrid phone system for the future of work  ,Y Combinator,S22,,
Tailor,"Tokyo,Japan",Headless ERP for enterprises  ,Y Combinator,S22,,
LevoFinancial,"SaltLakeCity,UT,USA",Spendable Investment Account  ,Y Combinator,S22,,
Stackup,"LosAngeles,CA,USA",A wallet that makes crypto effortless  ,Y Combinator,S22,,
TwoDots,"NewYork,NY,USA",Universal income and employment verification  ,Y Combinator,S22,,
PayO,"Bengaluru,Karnataka,India",Mobile-first Quickbooks & Square for Indian SMEs  ,Y Combinator,S22,,
Paces,"NewYork,NY,USA",Data and analytics for profitable green infrastructure  ,Y Combinator,S22,,
Clinikally,"Gurugram,Haryana,India",Telehealth platform & Rx grade products for skin & hair care that work  ,Y Combinator,S22,,
Coinbooks,"SanFrancisco,CA,USA",Intuit for Crypto companies  ,Y Combinator,S22,,
AlbiwareInc.,"DownersGrove,IL,USA",Making technology simple and accessible for home service contractors  ,Y Combinator,S22,,
SimpleHash,"SanFrancisco,CA,USA",Multi-chain NFT API,Y Combinator,W22,,
BBy,"NewYork,NY,USA",BBy powders breast milk that's immunologically active & lasts 6 months,Y Combinator,W22,,
WhiteLabGenomics,"Paris,France",Unleashing the potential of DNA and RNA based therapies using AI,Y Combinator,W22,,
TradeX,"Gurugram,Haryana,India",Exchange to trade on future events.,Y Combinator,W22,,
Massdriver,"LosAngeles,CA,USA","Deploy secure, scalable cloud infrastructure in minutes not days",Y Combinator,W22,,
RealityDefender,"NewYork,NY,USA",Enterprise Deepfake Detection,Y Combinator,W22,,
Lizza,"Guadalajara,Jalisco,Mexico",Meesho for Latin America.,Y Combinator,W22,,
Mono,"Bogotá,Bogota,Colombia",A bank account that integrates LatAm SMEs' finances and operations.,Y Combinator,W22,,
NFTScoring,"NewYork,NY,USA",NFT Trading Platform,Y Combinator,W22,,
CrediBook,"Jakarta,Indonesia",Faire for Indonesia,Y Combinator,W22,,
RemiLabs,"SaltLakeCity,UT,USA",Everything a business needs to launch their own NFTs,Y Combinator,W22,,
FreshFactory,"Jakarta,Indonesia",Smart Cold Chain Fulfillment Platform,Y Combinator,W22,,
Onboard.io,"Detroit,MI,USA",Manage & automate customer onboarding and implementation,Y Combinator,W22,,
Seis,"SanFrancisco,CA,USA",Banking 100% in Spanish for the 44 million US Spanish speakers,Y Combinator,W22,,
Bananas,"Jakarta,Indonesia",Groceries delivered in 10 mins.,Y Combinator,W22,,
Eventual,"SanFrancisco,CA,USA",Data Warehouse for Computer Vision,Y Combinator,W22,,
AiSupervision,"Mannheim,Germany",The operating system for factory production lines,Y Combinator,W22,,
PhoenixHydrogen,"Berkeley,CA,USA",First commodity marketplace for hydrogen.,Y Combinator,W22,,
Aigis,"Jakarta,Indonesia",Indonesian digital health insurance provider,Y Combinator,W22,,
Flike,"SanFrancisco,CA,USA",Effortlessly Embed Cutting-Edge AI Into Your Apps,Y Combinator,W22,,
Alima,"MexicoCity,CDMX,Mexico",Produce procurement made easy,Y Combinator,W22,,
Vecindario,"Medellín,Medellin,Antioquia,Colombia",We make it easier for real estate to sell properties and mortgages.,Y Combinator,W22,,
KarateLabs,"Wilmington,DE,USA",Open-core solution unifying API & UI test automation ,Y Combinator,W22,,
HippoBuild,"Bogotá,Bogota,Colombia",The Operating System of the construction industry,Y Combinator,W22,,
Pantore,"SãoPaulo,StateofSãoPaulo,Brazil",Platform for restaurants to order groceries in Brazil,Y Combinator,W22,,
beUdelivery,"AddisAbaba,Ethiopia",Food delivery service in Africa,Y Combinator,W22,,
GAVEL,"Berlin,Germany",Live shopping marketplace,Y Combinator,W22,,
Cofactr,"NewYork,NY,USA",The automated electronics supply chain platform for hardware teams,Y Combinator,W22,,
SixWheel,"SanMateo,CA,USA",Make diesel semi trucks hybrid-electric,Y Combinator,W22,,
KorrAI,"HalifaxRegionalMunicipality,NS,Canada",Digital twins for the natural resources sector,Y Combinator,W22,,
PinaEarth,"Munich,Germany",Unlocking carbon markets for European forest owners,Y Combinator,W22,,
BeyondAero,"Toulouse,France",Zero-emission private aircraft using hydrogen-electric propulsion,Y Combinator,W22,,
Realize,"NewYork,NY,USA",Connect investment accounts to your app.,Y Combinator,W22,,
"OrigamiTherapeutics,Inc.","SanDiego,CA,USA",Oral drugs to halt neurodegeneration,Y Combinator,W22,,
Cinapse,"LosAngeles,CA,USA",The Operating System of Hollywood,Y Combinator,W22,,
AirMyne,"Berkeley,CA,USA",CO2 removal from air at industrial scale,Y Combinator,W22,,
CloudEagle.ai,"PaloAlto,CA,USA",SaaS Research and Procurement Platform,Y Combinator,W22,,
MoojiMeats,"Baltimore,MD,USA",Enabling the next generation of alternative meats,Y Combinator,W22,,
Poko,Singapore,Replace Traditional Companies with DAOs Globally,Y Combinator,W22,,
GoSats,"Bengaluru,Karnataka,India",GoSats helps you earn free bitcoin when you shop in India.,Y Combinator,W22,,
Glocally,"Munich,Germany",The last mile delivery service for e-commerce businesses in Europe.,Y Combinator,W22,,
DeallJobs,"Jakarta,Indonesia","Career portal, revolutionized",Y Combinator,W22,,
ImpossibleMining,"SanJose,CA,USA",Underwater robotic vehicles that collect battery metals responsibly,Y Combinator,W22,,
Trusty,"SanFrancisco,CA,USA",Private MLS for off-market real estate,Y Combinator,W22,,
Syncware,Unkown,Helping warehouses optimize operations with AI  ,Y Combinator,W22,,
TAI,"SanFrancisco,CA,USA",Control All of Your Investments from a Single App,Y Combinator,W22,,
Circular,Singapore,Subscription consumer electronics for Asia,Y Combinator,W22,,
PowerhouseAI,Singapore,"Automating warehouse inventory checks, with a phone",Y Combinator,W22,,
HelloGuru,"SanFrancisco,CA,USA",Sync data from data warehouses to business systems,Y Combinator,W22,,
GIMO,"Hanoi,HoànKiếm,Hanoi,Vietnam",We help underbanked workers get paid before payday,Y Combinator,W22,,
OlympianMotors,"LosAngeles,CA,USA",Building classy Electric Vehicles with a disruptive production model,Y Combinator,W22,,
Netmaker,"Asheville,NC,USA",Automated WireGuard networks for distributed systems and Kubernetes,Y Combinator,W22,,
Cashmere,"SanFrancisco,CA,USA",Crypto wallet for web3 startups,Y Combinator,W22,,
PigeonLoans,"Miami,FL,USA",Simplifying loans with your friends & family.,Y Combinator,W22,,
TheAnkler,"LosAngeles,CA,USA",Subscription entertainment news,Y Combinator,W22,,
Darsel,Unkown,Chatbot teaching K12 math in developing countries,Y Combinator,W22,,
Verdn,"London,UK",An API to bundle trackable climate donations with any transaction.,Y Combinator,W22,,
Heptabase,"TaipeiCity,Taiwan",The visual note-taking tool for learning complex topics.,Y Combinator,W22,,
RevivingMind,"Boston,MA,USA",Addressing Loneliness and Isolation for Seniors,Y Combinator,W22,,
AnjaHealth,"LosAngeles,CA,USA",The First Stem Cell Safe,Y Combinator,W22,,
Koko,"SanFrancisco,CA,USA",Making mental health accessible to everyone.,Y Combinator,W22,,
10minutesquad,"Seoul,SouthKorea",GoPuff for Korea,Y Combinator,W22,,
Finku,"Jakarta,Indonesia",Personal finance platform for Indonesia,Y Combinator,W22,,
PloverParametrics,"SanFrancisco,CA,USA",Climate change insurance that pays out immediately.,Y Combinator,W22,,
Avocademy,"Miami,FL,USA",We teach UX/UI design and then help people get great jobs. ,Y Combinator,W22,,
MahaanaWealth,"Islamabad,IslamabadCapitalTerritory,Pakistan",Mahaana is first & only licensed digital wealth manager in Pakistan,Y Combinator,W22,,
Chaingrep,Unkown,Chaingrep makes it easy to read and understand on-chain data.,Y Combinator,W22,,
MarathonEducation,"HoChiMinhCity,Vietnam",We provide live after-school tutoring to K-12 students in Vietnam,Y Combinator,W22,,
Workflow86,"SydneyNSW,Australia",Document and automate your internal business processes,Y Combinator,W22,,
Moneytree,"LosAngeles,CA,USA",Unlocking solar for rental properties,Y Combinator,W22,,
WANTD,"LosAngeles,CA,USA",The first sneaker marketplace built for power resellers,Y Combinator,W22,,
Humand,"SanFrancisco,CA,USA",Creating digital communities for companies,Y Combinator,W22,,
1Flow,"SanFrancisco,CA,USA",In-the-moment user feedback for mobile and web apps to unlock growth.,Y Combinator,W22,,
UnravelCarbon,Singapore,Enterprise software for companies to track & reduce their carbon…,Y Combinator,W22,,
RTHM,"RedwoodCity,CA,USA",Telehealth and at-home diagnostics for Long COVID,Y Combinator,W22,,
Rally,"NewYork,NY,USA",User Research CRM,Y Combinator,W22,,
DisczMusic,"NewYork,NY,USA",The hottest new social media and music app,Y Combinator,W22,,
Arpari,"NewYork,NY,USA",A better financial platform for commercial real estate,Y Combinator,W22,,
Fleek,"SanFrancisco,CA,USA",A B2B marketplace for wholesale second hand fashion,Y Combinator,W22,,
yhangry,"London,UK",Marketplace for private chefs,Y Combinator,W22,,
GoJom,"Lima,Peru",One-stop-shop for Real Estate Solutions. ,Y Combinator,W22,,
Ploomber,"NewYork,NY,USA",Heroku for Data Science. ,Y Combinator,W22,,
FloatHealth,"Carlsbad,CA,USA",Uber for Nurses,Y Combinator,W22,,
amiloz,"MexicoCity,CDMX,Mexico",We enable Latin American corner-stores procure inventory easily,Y Combinator,W22,,
Winter,"SanFrancisco,CA,USA",Checkout to sell NFTs via credit card,Y Combinator,W22,,
Shaped,"NewYork,NY,USA",APIs for ranking,Y Combinator,W22,,
Rider,"Karachi,KarachiCity,Sindh,Pakistan",Modern parcel delivery for online sellers in Pakistan. ,Y Combinator,W22,,
ngrow.ai,"SanFrancisco,CA,USA",Low-code SaaS for marketing in push notifications,Y Combinator,W22,,
Winno,"SanFrancisco,CA,USA",Paid text message communities for creators.,Y Combinator,W22,,
Vobi,"SãoPaulo,StateofSãoPaulo,Brazil",All-in-one project management software for construction SMBs in Latam,Y Combinator,W22,,
Clupp,"MexicoCity,CDMX,Mexico",Online insurer with affordable insurance for low risk drivers in Latam,Y Combinator,W22,,
QUIK,"Maracaibo,Zulia,Venezuela",The Super App for LatAm,Y Combinator,W22,,
Unsaddl,"NewYork,NY,USA",Student loan contributions as an employee benefit,Y Combinator,W22,,
WishRoll,"NewYork,NY,USA",Send songs to your friends' homescreens,Y Combinator,W22,,
SOTERISKIN,"SanFrancisco,CA,USA",D2C Skincare for Eczema,Y Combinator,W22,,
Decent,"NewYork,NY,USA",Enabling fans to invest in artists & share in their success.,Y Combinator,W22,,
DriftinginSpace,"NewYork,NY,USA",Run compute-intensive apps in a browser,Y Combinator,W22,,
Spade,"Vancouver,BC,Canada",Universal financial transaction data enrichment,Y Combinator,W22,,
Fogbender,"Oakland,CA,USA",Customer support tool purpose-built for companies that sell APIs,Y Combinator,W22,,
PropelAuth,"California,USA",Team-based authentication for B2B SaaS,Y Combinator,W22,,
YatimaInc.,"Boston,MA,USA",A verifiable computing platform,Y Combinator,W22,,
Stablegains,Unkown,Earn high and stable interest from DeFi lending markets,Y Combinator,W22,,
Topship,"Lagos,Nigeria",Flexport for African Merchants,Y Combinator,W22,,
AmalInvest,"Manama,Bahrain",Investing app for Muslims,Y Combinator,W22,,
SNAB,"Madrid,Spain","B2B Payments in ""One Click""",Y Combinator,W22,,
Quan,"TheHague,Netherlands",End-to-end platform to improve wellbeing and team performance. ,Y Combinator,W22,,
Attain,"Berkeley,CA,USA",Faire for Convenience Stores,Y Combinator,W22,,
BetterOpinions,"Gurugram,Haryana,India",Prediction market of India,Y Combinator,W22,,
Forest,"SanFrancisco,CA,USA",Digital property manager and neobank for homeowner associations.,Y Combinator,W22,,
Nophin,"NewYork,NY,USA",The financial software and bank for 12M residential landlords,Y Combinator,W22,,
Venue.live,"Toronto,ON,Canada",Fun and interactive All Hands & AMAs for remote teams,Y Combinator,W22,,
Unai,"SanFrancisco,CA,USA",A VR headset designed to make virtual presence lifelike.,Y Combinator,W22,,
IoTFlowsInc,"Atlanta,GA,USA",Cloud Software Making Industrial Machines Smart,Y Combinator,W22,,
Trueplace,"Vancouver,BC,Canada",Making homeownership possible.,Y Combinator,W22,,
Vessel,"SanFrancisco,CA,USA",The Universal API for CRMs,Y Combinator,W22,,
CypherDWallet,"MillCreek,WA,USA",Multi-Chain Crypto Wallet with a Crypto Debit Card,Y Combinator,W22,,
Joon,"Oakland,CA,USA",The to-do app for kids with ADHD,Y Combinator,W22,,
Bracket,"LosAngeles,CA,USA",Two-way syncs between business tools and your database,Y Combinator,W22,,
OurEye.ai,"Bengaluru,Karnataka,India",OurEye.ai automatically analyses security cameras with Computer Vision,Y Combinator,W22,,
PINA,"Jakarta,Indonesia",WealthFront of Indonesia ,Y Combinator,W22,,
Numida,"Kampala,Uganda",Working capital for African micro businesses,Y Combinator,W22,,
Brainboard,"Paris,France",Visually design and manage cloud infrastructures.,Y Combinator,W22,,
re-mint,"SanFrancisco,CA,USA",official secondhand marketplaces for fashion brands,Y Combinator,W22,,
Nimbus,"SanFrancisco,CA,USA",Frictionless and powerful cloud dev environments,Y Combinator,W22,,
AndsonBiotech,"Atlanta,GA,USA",Fast chemical measurements for drug development and manufacturing,Y Combinator,W22,,
NeuralDynamicsTechnologies,"Boston,MA,USA",High-resolution implantable electrodes for brain machine interfacing,Y Combinator,W22,,
Theneo,"Seattle,WA,USA",Stripe-like API Docs in just a few clicks,Y Combinator,W22,,
Kula,"London,UK",Shopify for law firms,Y Combinator,W22,,
MutableAI,"Pittsburgh,PA,USA",AI Accelerated Software Development,Y Combinator,W22,,
HoyTrabajas,"Bogotá,Bogota,Colombia",LinkedIn for low-skilled workers in LATAM,Y Combinator,W22,,
Bemlo,"Stockholm,Sweden",Marketplace for hiring healthcare workers in Europe,Y Combinator,W22,,
Joe,"Paris,France","We let customers ""Buy Now Pay Later"" on any store in Europe. ",Y Combinator,W22,,
Rome,"SanFrancisco,CA,USA",The freight marketplace for truck drivers,Y Combinator,W22,,
Fello,"Bengaluru,Karnataka,India",Grow money and win ,Y Combinator,1000everyweekbysavingandplayinggames,,
Telematica,"Bengaluru,Karnataka,India",Plaid for Electric Vehicles,Y Combinator,W22,,
Vimmerse,"SanJose,CA,USA","Platform and SDKs to create, share, and play 3D video",Y Combinator,W22,,
Lifecast,"PaloAlto,CA,USA","Software to create 3D video for VR, robotics and film.",Y Combinator,W22,,
Duplo,"Lagos,Nigeria",Venmo for B2B in Africa,Y Combinator,W22,,
MaterialDepot,"Bengaluru,Karnataka,India","Search Engine, workflow automation for Architectural & Design industry",Y Combinator,W22,,
SaveIN,"Delhi,India","Buy now, Pay later for healthcare in India",Y Combinator,W22,,
DimOrder,HongKong,Toast for Southeast Asia,Y Combinator,W22,,
Courtyard,"SanFrancisco,CA,USA",Bringing physical collectibles to the blockchain.  ,Y Combinator,W22,,
CarbonCrusher,"Oslo,Norway",We make carbon negative roads ,Y Combinator,W22,,
Nullstone,"Atlanta,GA,USA",Opinionated platform to launch/operate apps & workloads on AWS,Y Combinator,W22,,
TakeApp,Singapore,Shopify for WhatsApp sellers,Y Combinator,W22,,
BotCity,"SãoPaulo,StateofSãoPaulo,Brazil",UiPath for developers. We use computer vision to automate on any tool.,Y Combinator,W22,,
Payourse,"Lagos,Nigeria",Tools and infrastructure for building user friendly crypto products,Y Combinator,W22,,
Cinder,"Washington,DC,USA",Operating system for trust and safety,Y Combinator,W22,,
Nash,"Nairobi,Kenya",All in one finance platform for borderless businesses in Africa,Y Combinator,W22,,
AntWalk,"Bengaluru,Karnataka,India",An employee up-skilling platform for fast growing companies,Y Combinator,W22,,
Legistify,"Gurugram,Haryana,India",Helps large Indian companies manage and resolve small legal disputes.,Y Combinator,W22,,
Moni,"Lagos,Nigeria",Group Financing for small businesses across Africa.,Y Combinator,W22,,
CashFlowPortal,"Seattle,WA,USA",Marketplace for investing in large real estate deals,Y Combinator,W22,,
Litebulb,"Toronto,ON,Canada",Automated technical onsite interviews,Y Combinator,W22,,
SimplifydSystems,"Lagos,Nigeria",We deliver toll-free internet apps,Y Combinator,W22,,
Durioo,"Cyberjaya,Selangor,Malaysia",Streaming Platform for Muslim Children,Y Combinator,W22,,
goodfin,"SantaMonica,CA,USA",A private bank for the next generation of wealth,Y Combinator,W22,,
Trackingplan,"Barcelona,Spain",No-code data observability and monitoring,Y Combinator,W22,,
Hydra,"SanFrancisco,CA,USA",The Postgres Data Warehouse,Y Combinator,W22,,
Arintra,"Austin,TX,USA",Smart assistant for doctors to automate documentation and coding,Y Combinator,W22,,
SmartHelio,"Lausanne,Switzerland",Software to prevent downtime in a solar plant,Y Combinator,W22,,
Campfire,"Toronto,ON,Canada",Actually fun remote team socials,Y Combinator,W22,,
DemoGorilla,"SanFrancisco,CA,USA",Browser extension tells sales teams what to say,Y Combinator,W22,,
Blitzllama,"Bengaluru,Karnataka,India",A toolbox to collect and analyse in-app user feedback,Y Combinator,W22,,
YunitInc,"Oakland,CA,USA",Yunit is the app for investment groups,Y Combinator,W22,,
"Sendme,Inc","Ibadan,Nigeria",On demand provider of meat to households and food businesses,Y Combinator,W22,,
Vendy,"Lagos,Nigeria",Enabling offline payments in Africa,Y Combinator,W22,,
Argo,"LosAngeles,CA,USA",a platform for monetizing premium short film entertainment,Y Combinator,W22,,
LovageLabs,"Lehi,UT,USA","Smart, virtual receptionists for local businesses.",Y Combinator,W22,,
Aklimate,"London,UK",Software for enterprises to track and reduce supply chain emissions,Y Combinator,W22,,
Fuell,"Madrid,Spain",All-in-one expense management automation solution,Y Combinator,W22,,
Tendo,"Accra,Ghana",Meesho for Africa - Enabling Africans to sell online with zero capital,Y Combinator,W22,,
Convoy,"Lagos,Nigeria",Building an open-source webhooks infrastructure.,Y Combinator,W22,,
Lenco,"Lagos,Nigeria",Pan-African digital bank for Africa's 50m businesses,Y Combinator,W22,,
Dojah,"Lagos,Nigeria",All-in-one KYC/Identity Verification Platform for Africa,Y Combinator,W22,,
SubscriptionFlow,"SanFrancisco,CA,USA",AI based Customizable Subscription & Revenue Management Platform,Y Combinator,W22,,
StrongCompute,"SydneyNSW,Australia",10x-1000x faster compute for Neural Network training,Y Combinator,W22,,
Grey,"Lagos,Nigeria",Foreign bank accounts for remote workers,Y Combinator,W22,,
Finnt,"Miami,FL,USA",Decentralized Finance & Crypto for Families,Y Combinator,W22,,
"Elphinstone,Inc.","Karachi,KarachiCity,Sindh,Pakistan",Robo-advisory platform for Pakistan,Y Combinator,W22,,
BonsaiDesk,"Atlanta,GA,USA",FullStory for 3D experiences,Y Combinator,W22,,
AlgaBiosciences,"SanFrancisco,CA,USA",We stop cows from burping methane.,Y Combinator,W22,,
Tradezi,Singapore,Robinhood for Southeast Asia,Y Combinator,W22,,
Identitypass,"Lagos,Nigeria",Identity Verification API for Africa,Y Combinator,W22,,
Agency,"NewYork,NY,USA",Advanced Personal Cybersecurity for Enterprises,Y Combinator,W22,,
Pluto.markets,"Copenhagen,Denmark","Social Robinhood where friends can collaborate, compete and co-invest",Y Combinator,W22,,
PayCrunch,"Bengaluru,Karnataka,India",Credit Card for college students based on UPI.,Y Combinator,W22,,
Livedocs,"SanFrancisco,CA,USA",No-code analytics tool for modern teams,Y Combinator,W22,,
voize,"Berlin,Germany",App for healthcare workers to fill out forms using speech,Y Combinator,W22,,
Requestly,"NewDelhi,Delhi,India",Test & Debug Web and Mobile Applications for different API errors,Y Combinator,W22,,
Kaagaz,"NewDelhi,Delhi,India",'Office' Suite for Mobile-first Businesses in India,Y Combinator,W22,,
Boya,"Nairobi,Kenya",Corporate Expense cards and Spend management for businesses in Africa,Y Combinator,W22,,
Curacel,"Lagos,Nigeria",Plaid for Insurance in Africa,Y Combinator,W22,,
FinFlx,Dubai-UnitedArabEmirates,Flexible pension plans for SMEs in MENA.,Y Combinator,W22,,
LunaJoy,"Atlanta,GA,USA",Precision mental health care for women,Y Combinator,W22,,
Edustack,"Hyderabad,Telangana,India",OS for 100 Mn K-12 Classroooms,Y Combinator,W22,,
Supersheets,"London,UK",Allow finance and ops teams to build data tools.,Y Combinator,W22,,
Takt,"Chicago,IL,USA",No-code workflow analytics,Y Combinator,W22,,
Botin,"SanJoséProvince,SanJosé,CostaRica",Investment super app for Latin America,Y Combinator,W22,,
Posh,"SanFrancisco,CA,USA",Automating EV battery recycling,Y Combinator,W22,,
Toko,"NewYork,NY,USA",Learn English by speaking with an AI,Y Combinator,W22,,
Enlightra,"Ecublens,Switzerland",Multicolor lasers for ultrafast data transmission,Y Combinator,W22,,
Cogram,"Berlin,Germany",Query data without writing SQL,Y Combinator,W22,,
MarkazTechnologies,"Islamabad,IslamabadCapitalTerritory,Pakistan",Reselling marketplace for social media entrepreneurs in Pakistan,Y Combinator,W22,,
EazipayInc.,"105102,Lagos,Nigeria",Simple Payroll Solution for Africa,Y Combinator,W22,,
Wibond,"Córdoba,Cordoba,Argentina",Affirm for LATAM ,Y Combinator,W22,,
Snippyly,"SanFrancisco,CA,USA","APIs to make your app multiplayer, just like Figma.",Y Combinator,W22,,
digiventures,"BuenosAires,Argentina",Enabling banks have a fintech-style loan origination process,Y Combinator,W22,,
PayCaddy,"PanamaCity,Panama",Simplified Banking as a Service for Latam,Y Combinator,W22,,
TuvaHealth,"SaltLakeCity,UT,USA",Open source software that cleans and transforms messy healthcare data.,Y Combinator,W22,,
Plumter,"Lagos,Nigeria",Easy foreign payments for Africa,Y Combinator,W22,,
Complete,"SanFrancisco,CA,USA",The complete way to do compensation,Y Combinator,W22,,
Tingo,"Gurugram,Haryana,India",Android phone dialer app for young people,Y Combinator,W22,,
Anfin,"HoChiMinhCity,Vietnam",Modern stock trading for Vietnam,Y Combinator,W22,,
InsureMyTeam,"Mumbai,Maharashtra,India",Disrupting Indian Insurance space by empowering agents,Y Combinator,W22,,
SALT,"Bengaluru,Karnataka,India",B2B Cross-Border Payment & Compliance Platform,Y Combinator,W22,,
NearWave,"SouthBend,IN,USA",Helping physicians select the right therapy for breast cancer patients,Y Combinator,W22,,
StairsFinancial,"NewYork,NY,USA",Find a home you can actually afford,Y Combinator,W22,,
PermitFlow,"SanJose,CA,USA",TurboTax for Construction Permitting,Y Combinator,W22,,
PowertotheBrand,Singapore,Marketing & distribution as-a-service in Southeast Asia,Y Combinator,W22,,
Kable,"SantaMonica,CA,USA",Usage-based billing for API companies,Y Combinator,W22,,
Mintlify,"SanFrancisco,CA,USA",Continuous documentation platform,Y Combinator,W22,,
Suggestr,Singapore,Amazon-level personalization for Shopify merchants,Y Combinator,W22,,
earnJARVIS,"SanFrancisco,CA,USA","Premium crypto platform, automating asset & yield management",Y Combinator,W22,,
iomete,"MountainView,CA,USA",iomete | The New Lakehouse Platform,Y Combinator,W22,,
Magna,"NewYork,NY,USA",Carta for Web3: token vesting and DeFi investment management. ,Y Combinator,W22,,
RecordBook,"Bengaluru,Karnataka,India",Airtable for 400 Million SMBs Globally,Y Combinator,W22,,
ScholarSite,"SanFrancisco,CA,USA","Expert-led, live courses for employees",Y Combinator,W22,,
